,No.,Opponent,Type,Year,Result_Draw,Result_Loss,Result_NC,Result_Win
472,1,Jim Young Shepherdson,KO,1928,0,0,0,1
471,2,Tommy Cann,PTS,1928,0,0,0,1
470,3,Norman Snow,PTS,1928,0,1,0,0
469,4,Bobby Wood,PTS,1928,0,0,0,1
468,5,Harry Siddons,PTS,1928,0,0,0,1
467,6,Bobby Wood,PTS,1929,0,0,0,1
466,7,Bobby Wood,PTS,1929,0,0,0,1
465,8,Bobby Wood,PTS,1929,0,0,0,1
464,9,Eric Jones,PTS,1929,1,0,0,0
463,10,Bobby Wood,PTS,1929,0,0,0,1
462,11,Bobby Wood,PTS,1929,0,0,0,1
461,12,Len Swinfield,PTS,1929,0,0,0,1
460,13,Tommy Cann,PTS,1929,0,0,0,1
459,14,Len Swinfield,PTS,1929,0,0,0,1
458,15,Tommy Cann,PTS,1929,0,0,0,1
457,16,Harry Siddons,PTS,1929,0,0,0,1
456,17,Len Swinfield,PTS,1929,1,0,0,0
455,18,Cyril Burgess,PTS,1929,0,0,0,1
454,19,George Pallett,PTS,1929,0,0,0,1
453,20,Wag Cartwright,PTS,1929,0,0,0,1
452,21,Jack Bradshaw,PTS,1929,0,1,0,0
451,22,Tommy Upton,PTS,1929,0,0,0,1
450,23,Charlie Thompson,PTS,1929,0,0,0,1
449,24,Bobby Wood,PTS,1929,0,0,0,1
448,25,Norman Snow,PTS,1929,0,0,0,1
447,26,Tiger Bert Ison,PTS,1929,0,0,0,1
446,27,Jack Bradshaw,PTS,1929,0,0,0,1
445,28,Charlie Thompson,PTS,1929,1,0,0,0
444,29,Harry Siddons,RTD,1929,0,0,0,1
443,30,Frankie Brown,KO,1929,0,1,0,0
442,31,Tiger Bert Ison,PTS,1929,0,0,0,1
441,32,Nipper Foxhall,PTS,1929,0,0,0,1
440,33,Jackie Kirk,PTS,1929,0,0,0,1
439,34,Joe Myers,PTS,1930,1,0,0,0
438,35,Eddie West,PTS,1930,0,0,0,1
437,36,Eric Jones,KO,1930,0,1,0,0
436,37,Dodger Whitney,PTS,1930,1,0,0,0
435,38,Tiger Bert Ison,PTS,1930,0,0,0,1
434,39,Jimmy Scott,PTS,1930,0,0,0,1
433,40,Jackie Kirk,PTS,1930,0,0,0,1
432,41,Jack Bradshaw,RTD,1930,0,0,0,1
431,42,Young Chen,PTS,1930,0,0,0,1
430,43,Norman Snow,PTS,1930,0,0,0,1
429,44,Sandy McLeod,PTS,1930,0,0,0,1
428,45,Tiger Bert Ison,PTS,1930,0,0,0,1
427,46,Battling Connah,PTS,1930,0,0,0,1
426,47,Reg Roberts,KO,1930,0,0,0,1
425,48,Sandy McEwan,PTS,1930,1,0,0,0
424,49,Billy Nutts,PTS,1930,1,0,0,0
423,50,Tommy Upton,KO,1930,0,1,0,0
422,51,Sandy McEwan,PTS,1930,0,0,0,1
421,52,Kid Baker,KO,1930,0,0,0,1
420,53,George Lovell,ND,1930,0,0,1,0
419,54,Ronnie Summerton,KO,1930,0,1,0,0
418,55,Billy Carter,PTS,1930,0,0,0,1
417,56,Archie Woodbine,PTS,1930,0,1,0,0
416,57,Pat Daly,PTS,1930,0,0,0,1
415,58,Joe Pugh,PTS,1930,0,0,0,1
414,59,Archie Woodbine,PTS,1930,0,0,0,1
413,60,Harry Brown,PTS,1930,0,0,0,1
412,61,Tommy Kirk,PTS,1930,0,1,0,0
411,62,Archie Woodbine,PTS,1930,1,0,0,0
410,63,George Siddons,PTS,1930,0,0,0,1
409,64,Bert Prickett,KO,1930,0,0,0,1
408,65,Douglas Parker,KO,1930,0,1,0,0
407,66,George Reynolds,PTS,1930,0,0,0,1
406,67,Arthur Boddington,DQ,1930,0,0,0,1
405,68,Siki Coulton,KO,1930,0,0,0,1
404,69,Les Burns,PTS,1930,1,0,0,0
403,70,Ginger Williams,PTS,1930,0,0,0,1
402,71,George Reynolds,PTS,1930,0,0,0,1
401,72,Billy Mellor,KO,1930,0,1,0,0
400,73,Arley Hollingsworth,KO,1930,0,1,0,0
399,74,Pat Daly,PTS,1930,0,0,0,1
398,75,Ginger Williams,PTS,1930,0,0,0,1
397,76,Archie Woodbine,PTS,1930,0,1,0,0
396,77,Arthur Boddington,PTS,1930,0,0,0,1
395,78,Drummer Hartin,PTS,1931,1,0,0,0
394,79,Arthur Ryan,PTS,1931,0,0,0,1
393,80,Roy Gregory,KO,1931,0,0,0,1
392,81,Harry Brown,PTS,1931,1,0,0,0
391,82,Jim Ashley,PTS,1931,0,0,0,1
390,83,Cyclone Joe Warriner,DQ,1931,0,0,0,1
389,84,Sol Severns,DQ,1931,0,0,0,1
388,85,Arthur Ryan,PTS,1931,0,0,0,1
387,86,Colin McDonald,KO,1931,0,0,0,1
386,87,Jimmy Rowbotham,PTS,1931,0,1,0,0
385,88,Harry Brown,PTS,1931,0,1,0,0
384,89,Alf Cotterill,PTS,1931,0,0,0,1
383,90,Jack Stone,PTS,1931,0,1,0,0
382,91,Sol Severns,PTS,1931,0,1,0,0
381,92,George Siddons,PTS,1931,0,0,0,1
380,93,Siki Coulton,PTS,1931,1,0,0,0
379,94,Siki Coulton,PTS,1931,0,1,0,0
378,95,Danny Booth,KO,1931,0,1,0,0
377,96,Jack Stone,PTS,1931,0,0,0,1
376,97,Alec Law,PTS,1931,1,0,0,0
375,98,Ginger Williams,PTS,1931,1,0,0,0
374,99,Alf Cotterill,PTS,1931,0,0,0,1
373,100,Ginger Williams,PTS,1931,0,0,0,1
372,101,Billy Cain,PTS,1931,0,1,0,0
371,102,Jack Stone,PTS,1931,0,0,0,1
370,103,Albert Young Dando,KO,1931,0,0,0,1
369,104,Siki Coulton,PTS,1931,0,1,0,0
368,105,Harry Davis,PTS,1931,0,1,0,0
367,106,Jack Kirby,RTD,1931,0,1,0,0
366,107,Ted Cullen,PTS,1931,0,0,0,1
365,108,George Fielding,RTD,1931,0,1,0,0
364,109,George Reynolds,PTS,1931,0,0,0,1
363,110,Arthur Ryan,PTS,1931,0,0,0,1
362,111,Billy Beason,PTS,1931,0,0,0,1
361,112,Mickey Walker,KO,1931,0,1,0,0
360,113,Johnny Copson,KO,1931,0,0,0,1
359,114,Sam Newbold,PTS,1931,1,0,0,0
358,115,Frank Marks,PTS,1931,1,0,0,0
357,116,Charlie Rowbotham,KO,1931,0,1,0,0
356,117,Billy Mellor,PTS,1931,0,0,0,1
355,118,Albert Young Dando,PTS,1931,0,0,0,1
354,119,Albert Young Dando,PTS,1931,0,0,0,1
353,120,Harry Brown,PTS,1931,0,0,0,1
352,121,Billy Young Bennett,PTS,1931,0,0,0,1
351,122,Norman Snow,KO,1931,0,1,0,0
350,123,Phil Hall,PTS,1931,0,0,0,1
349,124,Cyclone Joe Warriner,PTS,1931,0,0,0,1
348,125,Alf Cotterill,PTS,1931,0,0,0,1
347,126,Tommy Dexter,PTS,1932,0,0,0,1
346,127,Harry Brown,PTS,1932,0,0,0,1
345,128,Johnny Copson,PTS,1932,0,0,0,1
344,129,Cyclone Joe Warriner,PTS,1932,0,0,0,1
343,130,Ginger Williams,KO,1932,0,1,0,0
342,131,George Lovell,PTS,1932,0,0,0,1
341,132,Mickey Walker,PTS,1932,0,0,0,1
340,133,Charlie Rowbotham,RTD,1932,0,1,0,0
339,134,Benny Plant,DQ,1932,0,0,0,1
338,135,George Reynolds,PTS,1932,0,0,0,1
337,136,Billy Mellor,KO,1932,0,0,0,1
336,137,Ginger Williams,PTS,1932,0,0,0,1
335,138,George Lovell,PTS,1932,0,0,0,1
334,139,Martin Yates,PTS,1932,0,0,0,1
333,140,Tommy Creasey,PTS,1932,0,0,0,1
332,141,Pat Butler,PTS,1932,0,0,0,1
331,142,Billy Sheldon,PTS,1932,0,0,0,1
330,143,Billy Cain,KO,1932,0,0,0,1
329,144,Benny Caplan,PTS,1932,0,1,0,0
328,145,Tiny Brown,PTS,1932,0,0,0,1
327,146,Tommy Dexter,PTS,1932,0,0,0,1
326,147,Jimmy Taylor,PTS,1932,0,0,0,1
325,148,Albert Young Dando,PTS,1932,0,0,0,1
324,149,Gene Carney,PTS,1932,0,0,0,1
323,150,Bert Sales,PTS,1932,0,0,0,1
322,151,Frank Marks,PTS,1932,0,0,0,1
321,152,Arthur Ryan,KO,1932,0,0,0,1
320,153,Arthur Ryan,PTS,1932,0,0,0,1
319,154,Billy Smith,PTS,1932,1,0,0,0
318,155,Sid Gould,KO,1932,0,0,0,1
317,156,Billy Smith,PTS,1932,0,0,0,1
316,157,Tiny Brown,PTS,1932,0,0,0,1
315,158,Sid Gould,PTS,1932,0,0,0,1
314,159,Harry Little Minor,PTS,1932,0,0,0,1
313,160,Johnny Britton,PTS,1932,0,0,0,1
312,161,Bill Hardy,PTS,1932,0,0,0,1
311,162,Billy Mack,PTS,1932,0,0,0,1
310,163,Cuthbert Taylor,PTS,1932,0,1,0,0
309,164,Sid Gould,PTS,1932,0,0,0,1
308,165,Dick Burke,KO,1932,0,1,0,0
307,166,Tommy Cope,PTS,1932,0,0,0,1
306,167,Spud Murphy,PTS,1932,1,0,0,0
305,168,Tommy Creasey,PTS,1932,0,0,0,1
304,169,Fred Carpenter,PTS,1932,0,0,0,1
303,170,Benny Plant,PTS,1932,0,0,0,1
302,171,Bill Graham,PTS,1932,0,0,0,1
301,172,Bert Cantor,PTS,1932,0,0,0,1
300,173,Ginger Jones,PTS,1932,1,0,0,0
299,174,Fred Carpenter,PTS,1932,1,0,0,0
298,175,Len Fowler,PTS,1933,0,0,0,1
297,176,Pat Butler,PTS,1933,0,0,0,1
296,177,Jack Lawrence,PTS,1933,0,0,0,1
295,178,Jack Lawrence,DQ,1933,0,0,0,1
294,179,Jack Kirby,PTS,1933,0,0,0,1
293,180,Charlie Turnock,PTS,1933,0,0,0,1
292,181,Jimmy Rowbotham,PTS,1933,0,0,0,1
291,182,George Reynolds,PTS,1933,0,0,0,1
290,183,Seaman Frank Read,PTS,1933,0,0,0,1
289,184,Bryn Edwards,PTS,1933,0,0,0,1
288,185,Jim Learoyd,PTS,1933,0,1,0,0
287,186,Jack Kirby,PTS,1933,1,0,0,0
286,187,Ivor Drew,PTS,1933,0,0,0,1
285,188,Tiger Bert Ison,PTS,1933,0,0,0,1
284,189,Peter McKinley,PTS,1933,0,1,0,0
283,190,Ted Hinton,PTS,1933,0,1,0,0
282,191,Jack Skelly,PTS,1933,0,1,0,0
281,192,Jimmy Walsh,KO,1933,0,1,0,0
280,193,Jackie Flynn,KO,1933,0,1,0,0
279,194,George Darley,PTS,1933,0,0,0,1
278,195,Ted Hinton,PTS,1933,0,1,0,0
277,196,Ted Cullen,PTS,1933,0,0,0,1
276,197,Kaiser Bates,KO,1933,0,0,0,1
275,198,Pat Butler,PTS,1933,0,0,0,1
